STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       1503;20210504;   10;  24.5;   9.8;    3;   6.1;   6;    1.100;   0;   7.4;   8.8;  993.78;    8.8;   78.17;   11.6;    6.7;    5.3;eor
       1503;20210505;   10;  22.4;  10.1;    3;   4.6;   6;    3.533;   0;   5.5;   7.6;  999.14;    7.1;   75.42;    9.7;    3.8;    2.1;eor
       1503;20210506;   10;  12.5;   3.9;    3;   2.0;   6;    6.100;   0;   5.4;   7.3; 1005.09;    5.9;   79.13;    9.8;    3.3;    1.6;eor
       1503;20210507;   10;  13.3;   4.5;    3;   0.0;   6;    4.617;   0;   5.8;   7.6; 1011.41;    7.0;   76.79;   11.5;    3.3;    2.0;eor
       1503;20210508;   10;  13.2;   4.7;    3;   7.1;   6;    6.617;   0;   5.3;   8.4; 1012.62;    8.5;   76.08;   14.3;    1.1;   -1.1;eor
       1503;20210509;   10;  10.7;   4.3;    3;   0.0;   6;    7.617;   0;   5.7;  13.8; 1002.20;   19.2;   62.79;   25.9;   11.6;    9.1;eor
       1503;20210510;   10;  17.1;   4.7;    3;   6.3;   6;    1.967;   0;   7.8;  13.6; 1004.00;   17.8;   67.67;   22.8;   13.5;   12.2;eor
       1503;20210511;   10;   7.4;   2.6;    3;   4.6;   6;    0.000;   0;   7.8;  13.6; 1008.47;   12.7;   91.88;   14.3;   11.1;   10.7;eor
       1503;20210512;   10;  10.5;   3.5;    3;   0.0;   0;    4.233;   0;   7.8;  12.0; 1009.49;   13.1;   80.50;   17.4;    8.4;    6.2;eor
       1503;20210513;   10;   6.9;   2.4;    3;   0.0;   6;   11.000;   0;   6.6;  10.4; 1007.57;   11.2;   80.04;   16.6;    6.7;    5.2;eor
       1503;20210514;   10;   7.3;   3.1;    3;   0.0;   0;    2.717;   0;   6.4;  10.1; 1006.63;    9.9;   83.33;   14.3;    6.4;    3.5;eor
       1503;20210515;   10;  10.5;   2.0;    3;   3.7;   6;    2.417;   0;   6.6;  10.6; 1003.08;   10.1;   86.46;   15.0;    4.2;    2.6;eor
       1503;20210516;   10;  12.0;   3.2;    3;   3.1;   6;    3.867;   0;   7.0;  11.2;  999.44;   11.2;   84.46;   15.0;    8.4;    7.0;eor
       1503;20210517;   10;   9.6;   2.8;    3;   7.1;   6;    2.350;   0;   7.4;  11.3; 1002.08;   11.0;   86.17;   15.9;    7.5;    5.9;eor
       1503;20210518;   10;   9.1;   3.1;    3;   0.0;   6;    5.367;   0;   6.3;  10.5; 1010.73;   11.3;   78.96;   14.3;    7.4;    5.0;eor
       1503;20210519;   10;  10.7;   2.3;    3;   0.9;   6;    4.517;   0;   5.0;  10.6; 1015.03;   10.3;   84.79;   15.1;    4.6;    2.9;eor
       1503;20210520;   10;   9.6;   3.6;    3;   1.1;   6;    7.467;   0;   4.3;   9.8; 1016.02;   11.8;   73.17;   16.8;    4.3;    2.1;eor
       1503;20210521;   10;  24.7;   6.1;    3;   5.5;   6;    6.100;   0;   5.8;   9.9; 1001.26;   12.4;   69.04;   15.8;    7.0;    4.3;eor
       1503;20210522;   10;  15.5;   7.5;    3;   2.0;   6;    0.367;   0;   7.7;  10.1;  999.77;   10.7;   78.63;   13.4;    9.0;    7.5;eor
       1503;20210523;   10;  13.2;   4.1;    3;   1.1;   6;    5.633;   0;   6.5;   9.7; 1010.63;   10.5;   76.38;   13.9;    6.6;    4.8;eor
       1503;20210524;   10;  14.8;   4.8;    3;   5.7;   6;    2.183;   0;   7.1;  10.8; 1008.01;   12.7;   74.63;   18.5;    7.3;    5.3;eor
       1503;20210525;   10;  12.1;   4.1;    3;   7.9;   6;    0.900;   0;   7.2;  10.5; 1008.73;    9.3;   89.46;   12.2;    7.4;    6.3;eor
       1503;20210526;   10;  14.2;   6.1;    3;   4.9;   4;    1.700;   0;   7.4;  11.0; 1007.72;   10.4;   87.14;   14.2;    8.4;    7.1;eor
       1503;20210527;   10;  11.7;   5.7;    3;   0.0;   6;    1.817;   0;   7.0;  10.8; 1013.47;   11.2;   81.29;   14.8;    7.2;    5.8;eor
       1503;20210528;   10;  10.2;   4.2;    3;   0.0;   6;    9.400;   0;   5.0;  11.1; 1023.11;   12.0;   79.67;   16.4;    7.0;    5.9;eor
       1503;20210529;   10;   7.8;   2.3;    3;   0.0;   0;    4.400;   0;   5.9;  10.4; 1026.13;   11.4;   77.71;   16.0;    5.9;    3.6;eor
       1503;20210530;   10;   7.4;   2.3;    3;   0.0;   0;   10.250;   0;   2.5;  11.1; 1027.41;   11.2;   84.42;   20.1;    3.8;    2.1;eor
       1503;20210531;   10;  10.2;   2.8;    3;   0.0;   0;   12.767;   0;   2.5;  11.6; 1022.99;   15.8;   69.67;   23.1;    8.8;    8.1;eor
       1503;20210601;   10;  10.0;   2.4;    3;   0.0;   0;   14.350;-999;   3.4;  12.2; 1018.45;   17.6;   64.46;   25.0;    8.7;    5.6;eor
       1503;20210602;   10;   7.6;   2.9;    3;   0.0;   0;   10.717;-999;   5.6;  13.0; 1015.77;   18.3;   63.00;   24.8;   10.8;    8.8;eor
       1503;20210603;   10;  13.1;   3.6;    3;   6.7;   6;    3.233;-999;   7.7;  16.2; 1017.87;   19.8;   71.46;   27.5;   15.7;   14.4;eor
       1503;20210604;   10;   5.7;   1.6;    3;   0.9;   6;    8.383;-999;   5.6;  18.6; 1019.50;   20.2;   80.13;   26.2;   14.8;   13.8;eor
       1503;20210605;   10;   7.5;   2.5;    3;  21.1;   6;    0.050;-999;   7.5;  19.1; 1018.48;   18.0;   92.08;   22.1;   15.5;   14.7;eor
       1503;20210606;   10;   7.3;   4.0;    3;   0.0;   6;    0.000;-999;   7.8;  16.0; 1021.57;   15.0;   93.42;   16.7;   13.0;   12.9;eor
       1503;20210607;   10;   7.1;   3.2;    3;   0.0;   0;    5.633;-999;   6.2;  13.4; 1022.83;   15.8;   76.21;   20.1;   11.7;   12.2;eor
